                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0529,                 2.4678,                  1.314,                0.46877,                0.64351,                0.51146,                 0.3386,                 1.0854,                 6.9087,                 1.3851,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.0531,                 1.4801,                 1.2957,                0.51615,                0.89722,                0.63096,                0.38815,                 1.0939,                 13.081,                 1.5137,             0.00047864,             0.00047864,             0.00047864
                      3,                 1.1124,                 1.4397,                 1.3396,                 0.5139,                0.53595,                0.26772,                0.18505,                 2.0074,                 35.343,                 2.3791,             0.00071896,             0.00071896,             0.00071896
                      4,                 1.2297,                 1.4481,                 1.4044,                0.09042,                0.33056,                0.06837,                0.02682,                 2.5732,                 30.846,                 4.5518,             0.00095432,             0.00095432,             0.00095432
                      5,                 1.1825,                 1.3272,                 1.4105,                0.05023,                0.57222,                0.06526,                0.02903,                 2.1051,                 113.91,                 2.8729,              0.0011847,              0.0011847,              0.0011847
                      6,                  1.312,                 1.4548,                 1.5278,                 0.0157,                  0.325,                0.09915,                0.05049,                 2.3593,                 211.15,                 3.5901,              0.0014102,              0.0014102,              0.0014102
                      7,                 1.2158,                 1.4458,                 1.4222,                0.11525,                0.43611,                0.08203,                0.04398,                 2.4643,                    inf,                 7.1603,               0.001568,               0.001568,               0.001568
                      8,                 1.1842,                 1.3326,                 1.3975,                0.43838,                   0.35,                0.29048,                0.11874,                 2.2123,                 5.1319,                 2.9678,               0.001568,               0.001568,               0.001568
                      9,                  1.248,                 1.2801,                 1.4151,                0.25259,                    0.5,                 0.2307,                0.12877,                 1.9366,                 11.159,                 2.6983,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2824,                 1.3602,                 1.4167,                0.35287,                0.42263,                0.37846,                0.21092,                 1.7385,                 7.0124,                 2.2231,               0.001535,               0.001535,               0.001535
                     11,                  1.274,                 1.3238,                  1.438,                0.56619,                0.56944,                0.56246,                 0.3071,                 1.5138,                 3.1828,                 1.8824,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1781,                 1.2076,                 1.3737,                0.49525,                0.61389,                0.63409,                0.33977,                 1.4188,                  2.442,                 1.7702,               0.001502,               0.001502,               0.001502
                     13,                 1.1251,                 1.0682,                 1.2981,                 0.5743,                0.79444,                 0.6682,                0.39035,                 1.3341,                 2.3136,                 1.6479,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1423,                 1.1893,                 1.3722,                0.63547,                0.56849,                0.65566,                0.43424,                 1.2488,                 2.5228,                 1.4847,               0.001469,               0.001469,               0.001469
                     15,                 1.1246,                 1.1574,                 1.3393,                 0.6027,                0.71389,                 0.7041,                 0.4449,                 1.3315,                 2.0798,                 1.5732,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1184,                 1.1076,                 1.3394,                0.65325,                0.70978,                 0.7538,                0.50351,                 1.2983,                 1.6506,                 1.6992,               0.001436,               0.001436,               0.001436
                     17,                 1.0514,                0.99381,                 1.2689,                0.70974,                0.73859,                0.73942,                0.47479,                 1.4738,                  1.259,                 1.8139,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0842,                 1.1271,                 1.2972,                0.67519,                0.66944,                 0.6889,                0.42861,                 1.3939,                  1.445,                  1.644,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0968,                 1.0848,                  1.315,                0.75511,                0.79199,                0.81685,                 0.5433,                 1.2196,                 1.3746,                 1.4918,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0331,                  1.005,                 1.2839,                0.72505,                0.76111,                0.79459,                0.51288,                 1.2652,                 1.4122,                 1.4652,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.0057,                0.92858,                 1.2644,                0.76932,                0.71364,                0.77737,                0.51312,                 1.2381,                 1.4398,                 1.4977,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0205,                 0.9312,                 1.2504,                0.60743,                0.80906,                 0.7643,                0.51274,                 1.2383,                 1.2394,                 1.4623,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0541,                0.98919,                 1.2896,                0.68106,                0.82066,                0.81511,                0.55798,                  1.195,                 1.1563,                 1.5261,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1283,                 1.0827,                 1.3865,                0.70341,                0.76389,                0.77727,                0.54129,                 1.2082,                 1.1397,                 1.5294,              0.0013039,              0.0013039,              0.0013039
                     25,                0.99442,                0.91114,                 1.2536,                0.70529,                0.89344,                0.86694,                0.63866,                 1.0047,                 1.0528,                 1.3048,              0.0012874,              0.0012874,              0.0012874
                     26,                0.98262,                0.92916,                 1.2656,                0.64456,                0.67778,                0.70108,                0.46907,                 1.1602,                 1.3701,                 1.4811,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0371,                0.93755,                 1.2805,                0.74905,                0.84162,                0.84434,                0.56226,                 1.1484,                 1.2234,                 1.4764,              0.0012544,              0.0012544,              0.0012544
                     28,                0.94635,                0.88897,                 1.2338,                  0.797,                0.67892,                0.84289,                0.57566,                 1.1639,                 1.0975,                 1.4463,              0.0012379,              0.0012379,              0.0012379
                     29,                0.99236,                0.88248,                 1.2387,                0.68767,                0.81944,                0.84006,                0.56543,                  1.175,                 1.0095,                 1.4232,              0.0012214,              0.0012214,              0.0012214
                     30,                0.96439,                0.90564,                 1.2485,                0.61066,                0.61111,                0.64716,                0.41541,                 1.4041,                 1.3995,                 1.7108,              0.0012049,              0.0012049,              0.0012049
                     31,                0.96707,                0.88383,                  1.243,                0.77078,                0.71389,                0.76027,                0.50611,                 1.2871,                 1.1584,                   1.61,              0.0011884,              0.0011884,              0.0011884
                     32,                0.93483,                0.83279,                 1.2246,                0.75759,                0.79444,                0.80811,                0.54953,                 1.1839,                 1.0618,                 1.3973,              0.0011719,              0.0011719,              0.0011719
                     33,                0.92726,                0.79697,                 1.1919,                0.77037,                0.76046,                0.77648,                0.53157,                 1.2189,                0.97397,                 1.4611,              0.0011554,              0.0011554,              0.0011554
